index,date,observation,value
FI02,1960-09,Air temperature,9.1
FI03,1960-09,Air temperature,9.1
FI04,1960-09,Air temperature,8.7
FI05,1960-09,Air temperature,7.5
FI06,1960-09,Air temperature,9.6
FI07,1960-09,Air temperature,9.3
FI08,1960-09,Air temperature,8.8
FI09,1960-09,Air temperature,10.1
FI10,1960-09,Air temperature,7.1
FI11,1960-09,Air temperature,9.4
FI12,1960-09,Air temperature,10.0
FI13,1960-09,Air temperature,7.7
FI14,1960-09,Air temperature,8.0
FI15,1960-09,Air temperature,8.7
FI16,1960-09,Air temperature,9.6
FI17,1960-09,Air temperature,10.2
FI18,1960-09,Air temperature,10.2
FI19,1960-09,Air temperature,10.3
FI02,1960-10,Air temperature,1.8
FI03,1960-10,Air temperature,0.5
FI04,1960-10,Air temperature,0.6
FI05,1960-10,Air temperature,-2.1
FI06,1960-10,Air temperature,2.3
FI07,1960-10,Air temperature,1.2
FI08,1960-10,Air temperature,0.5
FI09,1960-10,Air temperature,3.0
FI10,1960-10,Air temperature,-4.4
FI11,1960-10,Air temperature,1.6
FI12,1960-10,Air temperature,1.9
FI13,1960-10,Air temperature,-0.8
FI14,1960-10,Air temperature,-2.0
FI15,1960-10,Air temperature,-0.2
FI16,1960-10,Air temperature,2.2
FI17,1960-10,Air temperature,2.8
FI18,1960-10,Air temperature,3.4
FI19,1960-10,Air temperature,3.3
FI02,1960-11,Air temperature,-2.5
FI03,1960-11,Air temperature,-2.5
FI04,1960-11,Air temperature,-2.9
FI05,1960-11,Air temperature,-4.9
FI06,1960-11,Air temperature,-1.5
FI07,1960-11,Air temperature,-2.2
FI08,1960-11,Air temperature,-2.9
FI09,1960-11,Air temperature,-1.1
FI10,1960-11,Air temperature,-8.1
FI11,1960-11,Air temperature,-2.0
FI12,1960-11,Air temperature,-1.5
FI13,1960-11,Air temperature,-3.9
FI14,1960-11,Air temperature,-4.6
FI15,1960-11,Air temperature,-3.2
FI16,1960-11,Air temperature,-1.8
FI17,1960-11,Air temperature,-0.8
FI18,1960-11,Air temperature,-0.4
FI19,1960-11,Air temperature,-0.2
FI02,1960-12,Air temperature,-2.6
FI03,1960-12,Air temperature,-3.0
FI04,1960-12,Air temperature,-3.7
FI05,1960-12,Air temperature,-6.0
FI06,1960-12,Air temperature,-1.2
FI07,1960-12,Air temperature,-3.0
FI08,1960-12,Air temperature,-3.5
FI09,1960-12,Air temperature,-1.1
FI10,1960-12,Air temperature,-9.4
FI11,1960-12,Air temperature,-2.2
FI12,1960-12,Air temperature,-2.2
FI13,1960-12,Air temperature,-4.6
FI14,1960-12,Air temperature,-5.7
FI15,1960-12,Air temperature,-4.4
FI16,1960-12,Air temperature,-1.8
FI17,1960-12,Air temperature,-0.8
FI18,1960-12,Air temperature,-0.1
FI19,1960-12,Air temperature,-0.2
FI02,1961-01,Air temperature,-5.0
FI03,1961-01,Air temperature,-5.5
FI04,1961-01,Air temperature,-5.8
FI05,1961-01,Air temperature,-7.9
FI06,1961-01,Air temperature,-4.9
FI07,1961-01,Air temperature,-5.7
FI08,1961-01,Air temperature,-6.0
FI09,1961-01,Air temperature,-3.7
FI10,1961-01,Air temperature,-10.7
FI11,1961-01,Air temperature,-5.3
FI12,1961-01,Air temperature,-4.4
FI13,1961-01,Air temperature,-6.6
FI14,1961-01,Air temperature,-7.5
FI15,1961-01,Air temperature,-6.6
FI16,1961-01,Air temperature,-4.6
FI17,1961-01,Air temperature,-4.0
FI18,1961-01,Air temperature,-3.7
FI19,1961-01,Air temperature,-4.1
FI02,1961-02,Air temperature,-1.7
FI03,1961-02,Air temperature,-2.4
FI04,1961-02,Air temperature,-2.5
FI05,1961-02,Air temperature,-5.0
FI06,1961-02,Air temperature,-1.4
FI07,1961-02,Air temperature,-3.2
FI08,1961-02,Air temperature,-2.7
FI09,1961-02,Air temperature,-1.0
FI10,1961-02,Air temperature,-9.2
FI11,1961-02,Air temperature,-1.9
FI12,1961-02,Air temperature,-2.1
FI13,1961-02,Air temperature,-3.2
FI14,1961-02,Air temperature,-5.2
FI15,1961-02,Air temperature,-3.2
FI16,1961-02,Air temperature,-1.3
FI17,1961-02,Air temperature,-0.7
FI18,1961-02,Air temperature,-0.6
FI19,1961-02,Air temperature,-0.4
FI02,1961-03,Air temperature,-1.4
FI03,1961-03,Air temperature,-1.0
FI04,1961-03,Air temperature,-2.2
FI05,1961-03,Air temperature,-4.0
FI06,1961-03,Air temperature,-0.9
FI07,1961-03,Air temperature,-2.2
FI08,1961-03,Air temperature,-1.9
FI09,1961-03,Air temperature,-0.3
FI10,1961-03,Air temperature,-6.2
FI11,1961-03,Air temperature,-1.2
FI12,1961-03,Air temperature,-0.5
FI13,1961-03,Air temperature,-3.0
FI14,1961-03,Air temperature,-4.0
FI15,1961-03,Air temperature,-2.6
FI16,1961-03,Air temperature,-0.7
FI17,1961-03,Air temperature,0.2
FI18,1961-03,Air temperature,0.3
FI19,1961-03,Air temperature,0.3
FI02,1961-04,Air temperature,1.0
FI03,1961-04,Air temperature,1.3
FI04,1961-04,Air temperature,0.2
FI05,1961-04,Air temperature,-2.2
FI06,1961-04,Air temperature,1.6
FI07,1961-04,Air temperature,-0.8
FI08,1961-04,Air temperature,0.5
FI09,1961-04,Air temperature,1.9
FI10,1961-04,Air temperature,-4.1
FI11,1961-04,Air temperature,1.4
FI12,1961-04,Air temperature,1.2
FI13,1961-04,Air temperature,-1.2
FI14,1961-04,Air temperature,-2.1
FI15,1961-04,Air temperature,-0.3
FI16,1961-04,Air temperature,1.8
FI17,1961-04,Air temperature,2.7
FI18,1961-04,Air temperature,2.1
FI19,1961-04,Air temperature,2.9
FI02,1961-05,Air temperature,9.7
FI03,1961-05,Air temperature,8.1
FI04,1961-05,Air temperature,8.9
FI05,1961-05,Air temperature,5.7
FI06,1961-05,Air temperature,9.8
FI07,1961-05,Air temperature,6.1
FI08,1961-05,Air temperature,8.8
FI09,1961-05,Air temperature,9.4
FI10,1961-05,Air temperature,3.6
FI11,1961-05,Air temperature,9.1
